Stanje,Pregledi,Cijena,Proizvodjac,Model,Gorivo,Godiste,Transmisija,Kilometraza,Kubikaza,Snaga motora (KW),Broj vrata
Koristeno,257.0,15990,Skoda,Octavia,Dizel,2015.0,Manuelni,255000,1.6,81.0,4/5
Koristeno,1837.0,21950,Audi,A4,Dizel,2013.0,Manuelni,254000,2.0,130.0,4/5
Koristeno,713.0,23700,Volkswagen,Passat,Dizel,2012.0,Manuelni,177000,2.0,125.0,4/5
Koristeno,1658.0,25900,Volkswagen,Passat,Dizel,2015.0,Manuelni,200000,2.0,110.0,4/5
Koristeno,136027.0,137000,Audi,R8,Benzin,2007.0,Automatik,143000,4.2,309.0,2/3
Koristeno,1108.0,,Volkswagen,Passat,Dizel,2016.0,Manuelni,264000,1.6,88.0,4/5
Koristeno,1173.0,9300,Skoda,Octavia,Dizel,2010.0,Manuelni,274000,1.6,66.0,4/5
Koristeno,1538.0,13750,Subaru,Forester,Dizel,2011.0,Manuelni,175000,2.0,110.0,4/5
Koristeno,8157.0,9900,Volvo,XC 90,Dizel,2005.0,Automatik,360000,2.4,120.0,4/5
Koristeno,21295.0,34500,Audi,Q5,Dizel,2013.0,Automatik,280000,3.0,180.0,4/5
Koristeno,3269.0,24999,Volkswagen,Golf,Dizel,2013.0,Manuelni,211000,2.0,110.0,4/5
Koristeno,1292.0,25999,Audi,A3,Dizel,2016.0,Manuelni,167200,1.6,81.0,4/5
Koristeno,14229.0,28500,Volkswagen,Golf,Benzin,2010.0,Automatik,258000,2.0,199.0,4/5
Koristeno,13539.0,,Jeep,Grand Cherokee,Dizel,2016.0,Automatik,211000,3.0,187.0,4/5
Koristeno,1040.0,4800,Opel,Astra,Benzin,2007.0,Manuelni,221543,1.8,103.0,2/3
Koristeno,34.0,11500,Skoda,Octavia,Dizel,2011.0,Manuelni,245000,1.6,77.0,4/5
Koristeno,394.0,10900,Skoda,Yeti,Dizel,2013.0,Manuelni,253125,2.0,81.0,4/5
Koristeno,17.0,17300,Peugeot,2008,Dizel,2013.0,Manuelni,199000,1.6,84.0,4/5
Koristeno,2589.0,10500,Volkswagen,Passat,Dizel,2009.0,Manuelni,224000,2.0,81.0,4/5
Koristeno,1937.0,,Opel,Corsa,Benzin,2012.0,Manuelni,152000,1.6,155.0,2/3
Koristeno,2058.0,16500,Audi,A4,Dizel,2011.0,Manuelni,321232,2.0,88.0,4/5
Koristeno,1163.0,18500,Audi,A6,Dizel,2009.0,Automatik,290000,2.0,125.0,4/5
